geography_level_1,geography_level_2,geography_level_2_bg
varna,Atanas Tarla,Атанас Тарла
varna,Neptun,Нептун
varna,Okrazhna Bolnitsa,Окръжна болница
varna,Chataldzha,Чаталджа
varna,VINS,ВИНС
varna,Kolhozen pazar,Колхозен пазар
varna,Trakia,Тракия
varna,Troshevo,Трошево
varna,Vasil Levski,Васил Левски
varna,outskirts,Покрайнини
burgas,Kraymorie,Крайморие
burgas,Gorno Ezerovo,Горно Езерово
burgas,Svoboda,Свобода
burgas,Zornitsa,Зорница
burgas,Lazur,Лазур
burgas,Izgrev,Изгрев
burgas,Dolno Ezerovo,Долно Езерово
burgas,Slaveykov,Славейков
burgas,Lozovo,Лозово
burgas,Sarafovo,Сарафово
burgas,Vetren,Ветрен
burgas,Cherno more,Черно море
burgas,Rudnik,Рудник
burgas,Banevo,Банево
burgas,Southern industrial zone,Индустриална зона Юг
burgas,Center,Център
burgas,Lozovo industrial zone,Индустриална зона Лозово
burgas,Northern Industrial Zone,Индустриална зона - Север
burgas,Bratya Miladinovi,Братя Миладинови
burgas,Vazrazhdane,Възраждане
burgas,Akacii and Pobeda,Акации и Победа
burgas,Meden Rudnik,Меден Рудник
burgas,outskirts,Покрайнини
ruse,Dolapite,Долапите
ruse,Sredna kula,Средна кула
ruse,Nova mahala,Нова махала
ruse,Midiya Enos,Мидия Енос
ruse,Center south,Център юг
ruse,Vezhdata,Веждата
ruse,Hashove,Хъшове
ruse,Pazara,Пазара
ruse,Yalta,Ялта
ruse,Zaharna fabrika,Захарна фабрика
ruse,Western industrial zone,Индустриална зона Запад
ruse,Center,Център
ruse,Eastern industrial zone,Индустриална зона Изток
ruse,Studentski grad,Студентски град
ruse,Vazrazhdane,Възраждане
ruse,Rodina,Родина
ruse,Druzhba,Дружба
ruse,Zdravets,Здравец
ruse,Charodeyka,Чародейка
ruse,Tsvetnitsa and Traktsiya,Цветница и Тракция
ruse,outskirts,Покрайнини
stara_zagora,Zheleznik,Железник
stara_zagora,Kazanski,Казански
stara_zagora,Slaveykov,Славейков
stara_zagora,Geo Milev,Гео Милев
stara_zagora,Southern industrial zone east,Индустриална зона Юг изток
stara_zagora,Center,Център
stara_zagora,Zora,Зора
stara_zagora,Opalchenski,Опълченски
stara_zagora,Makedonski,Македонски
stara_zagora,Lozenets,Лозенец
stara_zagora,Vasil Levski,Васил Левски
stara_zagora,Bedechka,Бедечка
stara_zagora,Golesh,Голеш
stara_zagora,Dabrava,Дъбрава
stara_zagora,Souhtern industrial zone west,Индустриална зона Юг запад
stara_zagora,Studentski grad,Студентски град
stara_zagora,Northern industrial zone,Индустриална зона Север
stara_zagora,Tri chuchura,Три чучура
